tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
80,14,14,17,8,2,13,1,18,17,5,4,1,1,1,1,1
81,14,15,17,7,1,12,1,19,18,5,5,1,1,1,1,1
82,14,15,17,6,1,11,1,20,19,5,5,1,1,1,1,1
83,15,15,18,5,1,10,1,21,20,6,5,1,1,1,1,1
84,15,15,19,4,2,9,1,22,21,7,6,1,1,1,1,1
85,15,16,20,3,3,8,1,23,22,7,7,1,1,1,1,1
86,15,16,21,2,4,7,1,24,23,7,7,1,1,1,1,1
87,15,16,22,1,5,6,1,25,24,8,7,1,1,1,1,1
88,16,17,23,1,6,5,1,24,25,9,7,1,1,1,1,1
89,16,18,24,1,7,4,1,23,24,10,8,1,1,1,1,1
90,16,19,23,2,7,3,2,22,23,11,8,1,1,1,1,1
91,17,20,22,3,7,2,2,21,22,11,8,1,1,1,1,1
92,18,21,21,4,8,1,2,20,21,11,7,1,1,1,1,1
93,19,22,20,5,8,1,2,19,20,12,6,2,1,1,1,1
94,20,23,19,6,8,1,3,18,19,12,6,3,1,1,1,1
95,21,24,18,7,9,2,4,17,18,12,6,4,1,1,1,1
96,22,25,17,8,9,3,4,16,17,13,6,4,1,1,1,1
97,23,24,16,9,9,4,4,15,16,13,5,4,1,1,1,1
98,24,23,15,10,10,5,3,14,15,13,4,5,1,1,1,1
99,25,22,14,11,10,6,2,13,14,14,4,5,2,1,1,1
100,24,21,13,12,10,7,1,12,13,15,4,5,2,1,1,1
101,23,20,12,13,11,7,1,11,12,16,3,5,2,1,1,1
102,22,19,11,13,11,7,1,10,11,17,2,5,1,1,1,1
103,21,18,10,13,11,7,2,9,10,18,1,6,1,1,1,1
104,20,17,9,14,12,7,3,8,9,19,1,7,1,1,1,1
105,19,16,8,14,13,8,3,7,8,20,1,8,1,1,1,1
106,18,15,7,14,14,9,3,6,7,21,1,8,1,1,1,1
107,17,14,6,14,15,9,4,5,6,22,1,8,1,1,1,1
108,16,13,5,14,16,9,4,4,5,23,1,9,1,1,1,1
109,15,12,4,15,17,10,4,3,4,22,1,9,1,1,1,1
110,14,11,3,15,18,10,5,2,3,21,1,9,1,1,1,1
111,13,10,2,15,19,10,6,1,2,20,1,10,1,1,1,1
112,12,9,1,16,20,11,7,1,1,19,1,10,1,1,1,1
113,11,8,1,16,21,11,7,1,1,18,1,10,1,1,1,1
114,10,7,1,16,22,11,7,2,1,17,1,11,1,1,1,1
115,9,6,2,16,23,12,8,3,2,16,2,12,1,1,1,1
116,8,5,3,16,24,12,9,4,3,15,3,13,1,1,1,1
117,7,4,4,17,23,12,10,5,4,14,3,12,1,1,1,1
118,6,3,5,17,22,13,10,6,5,13,3,11,1,1,1,1
119,5,2,6,17,21,13,10,7,6,12,4,10,1,1,1,1
120,4,1,7,18,20,13,10,7,7,11,4,9,1,1,1,1
121,3,1,8,19,19,14,11,7,8,10,4,8,1,1,1,1
122,2,1,9,20,18,15,12,8,9,9,5,7,1,1,1,1
123,1,2,10,21,17,16,12,8,10,8,5,6,1,1,1,1
124,1,3,11,22,16,17,12,8,10,7,5,5,1,1,1,1
125,1,4,12,23,15,18,13,9,10,6,6,4,2,1,1,1
126,2,5,13,24,14,19,13,9,11,5,6,3,2,2,1,1
127,3,6,13,25,13,20,13,9,12,4,6,2,2,2,2,1
128,4,7,13,24,12,21,14,10,13,3,7,1,1,2,3,1
129,5,8,14,23,11,22,14,11,14,2,7,1,1,3,4,2
130,6,9,15,22,10,23,14,11,15,1,7,1,1,4,4,2
131,7,10,15,21,9,24,15,11,16,1,8,2,2,4,4,2
132,8,11,15,20,8,25,16,12,16,1,8,3,2,4,5,1
133,9,12,16,19,7,24,16,13,16,2,8,4,2,5,5,1
134,10,12,17,18,6,23,16,14,17,3,8,5,3,5,5,1
135,11,12,17,17,5,22,17,14,17,4,9,6,3,5,6,2
136,12,13,17,16,4,21,18,14,17,5,9,7,3,4,6,2
137,13,14,18,15,3,20,19,15,18,6,9,8,2,3,6,2
138,14,15,18,14,2,19,20,15,19,7,8,8,1,2,5,3
139,15,16,18,13,1,18,21,15,19,7,7,8,1,1,5,3
140,16,16,19,12,1,17,22,16,19,7,6,9,1,1,5,3
141,16,16,19,11,1,16,23,16,20,8,5,9,1,1,4,2
142,16,17,19,10,2,15,24,16,20,9,4,9,2,1,3,1
143,17,17,20,9,3,14,25,17,20,10,3,10,3,1,2,1
144,17,17,21,8,4,13,24,18,21,11,2,11,3,1,1,1
145,17,17,22,7,5,12,23,19,22,12,1,11,3,1,1,1
146,18,17,23,6,6,11,22,20,23,13,1,11,4,2,1,1
147,18,18,24,5,7,10,21,21,24,14,1,12,4,2,1,1
148,18,18,25,4,8,9,20,22,25,14,1,12,4,2,1,1
149,19,18,24,3,8,8,19,23,24,14,1,12,5,1,1,1
150,19,19,23,2,8,7,18,24,23,15,1,13,5,1,1,1
151,19,19,22,1,9,6,17,25,22,15,1,13,5,1,1,1
152,20,19,21,1,9,5,16,24,21,15,2,13,6,1,1,1
153,21,19,20,1,9,4,15,23,20,15,2,13,7,1,1,1
154,22,19,19,2,10,3,14,22,19,16,2,14,8,1,1,1
155,23,20,18,3,10,2,13,21,18,16,3,15,8,1,1,1
156,24,21,17,4,10,1,12,20,17,16,3,14,8,1,1,1
157,25,22,16,5,11,1,11,19,16,17,3,13,9,1,1,1
158,24,23,15,6,11,1,10,18,15,17,3,12,10,1,1,1
159,23,24,14,7,11,2,9,17,14,17,2,11,10,1,1,1
160,22,25,13,8,12,3,8,16,13,18,1,10,10,2,1,1
161,21,24,12,9,12,4,7,15,12,19,1,9,11,3,2,1
162,20,23,11,10,12,5,6,14,11,20,1,8,12,3,3,1
163,19,22,10,10,13,6,5,13,10,21,1,7,13,3,4,1
164,18,21,9,10,14,7,4,12,9,22,1,6,14,4,5,1
165,17,20,8,11,15,8,3,11,8,23,1,5,14,5,6,1
166,16,19,7,11,16,9,2,10,7,24,1,4,14,5,7,1
167,15,18,6,11,17,10,1,9,6,25,2,3,15,5,7,1
168,14,17,5,12,18,11,1,8,5,24,2,2,16,6,7,1
169,13,16,4,13,19,11,1,7,4,23,2,1,17,7,8,2
170,12,15,3,14,20,11,2,6,3,22,3,1,18,7,8,2
171,11,14,2,15,21,12,3,5,2,21,3,1,19,7,8,2
172,10,13,1,15,22,12,4,4,1,20,3,2,20,7,9,1
173,9,12,1,15,23,12,5,3,1,19,2,3,21,7,9,1
174,8,11,1,16,24,13,5,2,1,18,1,4,22,8,9,1
175,7,10,2,17,23,13,5,1,2,17,1,5,23,8,10,2
176,6,9,3,17,22,13,6,1,3,16,1,5,24,8,10,2
177,5,8,4,17,21,14,7,1,4,15,2,5,23,7,10,2
178,4,7,5,17,20,14,8,2,5,14,3,5,22,6,11,2
179,3,6,6,18,19,14,9,3,6,13,4,5,21,6,11,2
180,2,5,7,18,18,15,10,4,7,12,4,5,20,6,11,2
181,1,4,8,18,17,16,10,5,8,11,4,6,19,5,12,1
182,1,3,9,19,16,16,10,6,9,10,3,6,18,4,12,1
183,1,2,10,20,15,16,11,7,10,9,2,6,17,3,12,1
184,2,1,11,21,14,17,12,8,11,8,1,7,16,2,13,1
185,3,1,12,22,13,18,13,8,12,7,1,8,15,1,13,1
186,4,1,13,23,12,18,14,8,13,6,1,9,14,1,13,1
187,5,2,14,24,11,18,15,9,14,5,2,10,13,1,14,1
188,6,3,15,25,10,19,15,10,15,4,3,10,12,2,15,1
189,7,4,16,24,9,20,15,11,16,3,4,10,11,2,14,1
190,8,5,17,23,8,21,16,12,17,2,4,11,10,2,13,1
191,8,6,17,22,7,22,17,12,18,1,4,12,9,1,12,1
192,8,7,17,21,6,23,17,12,19,1,5,12,8,1,11,1
193,9,8,18,20,5,24,17,13,20,1,5,12,7,1,10,1
194,10,9,19,19,4,25,18,14,21,2,5,13,6,1,9,1
195,11,10,19,18,3,24,18,14,21,3,6,13,5,1,8,1
196,12,11,19,17,2,23,18,14,21,4,7,13,4,1,7,1
197,13,12,19,16,1,22,19,15,22,5,7,14,3,1,6,1
198,14,13,19,15,1,21,20,15,22,6,7,14,2,2,5,1
199,15,14,19,14,1,20,20,15,22,6,8,14,1,2,4,2
200,16,15,19,13,2,19,20,16,23,6,9,14,1,2,3,3
201,17,16,20,12,3,18,21,16,23,7,9,14,1,3,2,4
202,18,17,20,11,4,17,21,16,23,7,9,15,2,4,1,4
203,19,18,20,10,5,16,21,17,24,7,10,14,3,5,1,4
204,19,18,21,9,6,15,22,18,25,8,10,13,4,5,1,4
205,19,18,21,8,7,14,23,18,24,9,10,12,5,5,2,4
206,20,18,21,7,8,13,24,18,23,10,11,11,6,5,3,5
207,20,18,22,6,9,12,25,19,22,11,11,10,7,5,4,5
208,20,19,23,5,10,11,24,20,21,12,11,9,8,4,5,5
209,21,20,24,4,11,10,23,21,20,13,11,8,8,3,6,4
210,21,20,25,3,12,9,22,22,19,14,11,7,8,2,6,3
211,21,20,24,2,13,8,21,23,18,14,11,6,9,2,6,2
212,22,20,23,1,13,7,20,24,17,14,11,5,9,2,7,1
213,23,20,22,1,13,6,19,25,16,15,11,4,9,1,7,1
214,24,21,21,1,13,5,18,24,15,15,12,3,10,1,7,1
215,25,21,20,2,14,4,17,23,14,15,13,2,10,1,8,2
216,24,21,19,3,14,3,16,22,13,15,14,1,10,2,8,3
217,23,22,18,4,14,2,15,21,12,15,15,1,11,3,8,4
218,22,23,17,5,14,1,14,20,11,16,14,1,12,3,9,4
219,21,24,16,6,14,1,13,19,10,16,13,2,12,3,9,4
220,20,25,15,7,14,1,12,18,9,16,12,2,12,4,9,5
221,19,24,14,8,15,2,11,17,8,16,11,2,12,5,10,5
222,18,23,13,9,15,3,10,16,7,16,10,3,12,6,10,5
223,17,22,12,10,15,4,9,15,6,17,9,3,13,6,10,6
224,16,21,11,11,16,5,8,14,5,17,8,3,13,6,10,6
225,15,20,10,12,16,6,7,13,4,17,7,3,13,6,10,6
226,14,19,9,13,16,7,6,12,3,18,6,3,14,6,11,7
227,13,18,8,14,17,8,5,11,2,18,5,4,14,6,11,7
228,12,17,7,15,18,9,4,10,1,18,4,4,14,6,11,7
229,11,16,6,16,19,10,3,9,1,19,3,4,15,7,12,7
230,10,15,5,17,20,11,2,8,1,20,2,4,16,8,13,7
