tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
264,7,7,23,16,13,11,16,20,7,9,9,23,23,3,25,25
265,7,6,23,15,14,12,15,20,6,10,10,23,23,4,25,25
266,7,5,22,14,14,13,14,21,5,11,11,23,23,5,25,25
267,8,4,21,13,14,14,13,21,4,12,12,23,23,6,25,25
268,9,3,20,12,15,15,12,21,3,13,12,23,23,7,25,25
269,10,2,19,11,16,16,11,22,2,13,12,23,23,8,25,25
270,11,1,18,10,17,16,10,23,1,13,13,23,23,9,25,25
271,12,1,17,9,17,16,9,24,1,14,14,23,23,10,25,25
272,12,1,16,8,17,17,8,24,1,14,14,23,23,11,25,25
273,12,2,15,7,18,18,7,24,2,14,14,23,23,12,25,25
274,13,2,14,6,19,19,6,25,3,15,15,23,23,13,25,25
275,14,2,13,5,20,20,5,25,4,16,15,23,23,13,25,25
276,15,3,12,4,20,21,4,25,4,17,15,23,23,13,25,25
277,15,4,11,3,20,21,3,24,4,18,16,23,23,14,25,25
278,15,5,10,2,21,21,2,23,5,19,17,23,23,15,25,25
279,16,5,9,1,22,22,1,22,5,19,18,23,23,15,25,25
280,17,5,8,1,22,23,1,21,5,19,18,23,23,15,25,25
281,18,6,7,1,22,24,1,20,6,20,18,23,23,16,25,25
282,19,7,6,2,21,24,2,19,7,21,19,23,23,16,25,25
283,20,8,5,3,20,24,3,18,8,22,20,23,23,16,25,25
284,21,9,4,3,19,25,3,17,8,22,21,23,23,17,25,25
285,21,9,3,3,18,25,3,16,8,22,22,23,23,17,25,25
286,21,9,2,4,17,25,4,15,9,23,22,23,23,17,25,25
287,22,10,1,5,16,24,5,14,10,24,22,23,23,18,25,25
288,22,11,1,6,15,23,5,13,10,25,23,23,23,19,25,25
289,22,12,1,7,14,22,5,12,10,25,24,23,23,20,25,25
290,23,13,2,7,13,21,6,11,11,25,25,23,23,21,25,25
291,24,14,3,7,12,20,7,10,12,24,25,23,23,21,25,25
