tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
940,18,9,5,1,13,17,4,12,1,4,24,12,1,23,1,1
941,17,8,6,1,14,16,3,13,1,3,25,13,1,24,1,1
942,16,7,7,1,14,15,2,14,1,2,24,14,1,25,1,1
943,15,6,8,1,14,14,1,15,1,1,23,15,1,24,1,1
944,14,5,9,1,15,13,1,16,1,1,22,16,1,23,1,1
945,13,4,10,1,16,12,1,17,1,1,21,17,1,22,1,1
946,12,3,11,1,16,11,2,17,1,2,20,17,1,21,1,1
947,11,2,12,1,16,10,3,17,1,3,19,17,1,20,1,1
948,10,1,13,1,17,9,4,18,1,4,18,18,1,19,1,1
949,9,1,14,1,17,8,5,18,1,5,17,18,1,18,1,1
950,8,1,15,1,17,7,6,18,1,6,16,18,1,17,1,1
951,7,2,15,1,18,6,7,19,1,7,15,19,1,16,1,1
952,6,3,15,1,19,5,8,19,1,8,14,19,1,15,1,1
953,5,4,16,1,20,4,9,19,1,9,13,19,1,14,1,1
954,4,5,17,1,21,3,10,20,1,10,12,20,1,13,1,1
955,3,6,18,1,22,2,11,20,1,11,11,21,1,12,1,1
956,2,7,19,1,23,1,12,20,1,12,10,22,1,11,1,1
957,1,8,20,1,24,1,13,21,1,13,9,23,1,10,1,1
958,1,9,21,1,25,1,14,21,1,14,8,24,1,9,1,1
959,1,10,22,1,24,2,15,21,1,15,7,25,1,8,1,1
960,2,11,23,1,23,3,15,22,1,16,6,24,1,7,1,1
961,3,12,24,1,22,4,15,22,1,17,5,23,1,6,1,1
962,4,13,25,1,21,5,16,22,1,17,4,22,1,5,1,1
963,5,14,24,1,20,6,16,23,1,17,3,21,1,4,1,1
964,6,15,23,1,19,7,16,24,1,18,2,20,1,3,1,1
965,7,15,22,1,18,8,17,25,1,18,1,19,1,2,1,1
966,8,15,21,1,17,9,18,24,1,18,1,18,1,1,1,1
967,9,16,20,1,16,10,19,23,1,19,1,17,1,1,1,1
968,10,16,19,1,15,11,20,22,1,20,2,16,1,1,1,1
969,11,16,18,1,14,12,21,21,1,21,3,15,1,2,1,1
970,12,17,17,1,13,13,22,20,1,22,4,14,1,3,1,1
971,13,18,16,1,12,14,23,19,1,23,5,13,1,4,1,1
972,14,18,15,1,11,15,24,18,1,24,6,12,1,5,1,1
973,15,18,14,1,10,16,25,17,1,25,7,11,1,6,1,1
974,16,19,13,1,9,17,24,16,1,24,8,10,1,7,1,1
975,17,19,12,1,8,18,23,15,1,23,9,9,1,8,1,1
976,18,19,11,1,7,19,22,14,1,22,10,8,1,9,1,1
977,18,20,10,1,6,19,21,13,1,21,11,7,1,10,1,1
978,18,21,9,1,5,19,20,12,1,20,12,6,1,11,1,1
979,19,22,8,1,4,20,19,11,1,19,13,5,1,12,1,1
980,20,23,7,1,3,21,18,10,1,18,14,4,1,13,1,1
981,21,24,6,1,2,22,17,9,1,17,15,3,1,14,1,1
982,22,25,5,1,1,23,16,8,1,16,16,2,1,15,1,1
983,23,24,4,1,1,24,15,7,1,15,17,1,1,15,1,1
