tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
958,3,22,2,24,10,18,6,9,24,1,21,1,14,14,16,4
959,2,22,3,24,11,17,5,8,23,2,22,2,15,13,16,3
960,1,23,4,24,12,16,4,7,22,3,22,3,16,12,17,2
961,1,23,5,25,13,15,3,6,21,4,22,4,17,11,16,1
962,1,23,6,24,14,14,2,5,20,5,23,5,18,10,15,1
963,2,24,7,23,15,13,1,4,19,6,23,6,19,9,14,1
964,3,24,8,22,16,12,1,3,18,7,23,7,19,8,13,1
965,4,24,9,21,17,11,1,2,17,8,24,8,19,7,12,1
966,5,25,10,20,18,10,2,1,16,9,25,9,20,6,11,1
967,6,24,11,19,19,9,3,1,15,10,24,10,20,5,10,1
968,7,23,12,18,20,8,4,1,14,11,23,11,20,4,9,1
969,8,22,13,17,21,7,5,2,13,12,22,12,21,3,8,1
970,9,21,14,16,22,6,6,3,12,13,21,13,22,2,7,1
971,10,20,15,15,23,5,7,4,11,14,20,14,22,1,6,1
972,11,19,16,14,23,4,8,5,10,15,19,15,22,1,5,1
973,12,18,17,13,23,3,9,6,9,16,18,16,23,1,4,1
974,13,17,18,12,24,2,10,7,8,17,17,17,23,2,3,1
975,14,16,19,11,24,1,11,8,7,18,16,17,23,3,2,1
976,15,15,20,10,24,1,12,9,6,19,15,17,24,4,1,1
977,16,14,21,9,25,1,13,10,5,20,14,18,24,5,1,1
978,17,13,22,8,25,2,14,11,4,21,13,19,24,6,1,1
979,18,12,23,7,25,3,15,12,3,22,12,19,25,7,2,1
980,19,11,23,6,24,4,16,13,2,22,11,19,24,8,3,1
981,20,10,23,5,23,5,17,14,1,22,10,18,23,9,4,1
982,21,9,24,4,22,6,18,15,1,23,9,17,22,10,5,1
983,22,8,24,3,21,7,19,16,1,23,8,16,21,11,6,1
984,23,7,24,2,20,8,20,17,2,23,7,15,20,12,7,1
985,24,6,25,1,19,9,21,18,3,24,6,14,19,13,8,1
986,25,5,25,1,18,10,22,19,4,25,5,13,18,14,9,1
987,25,4,25,1,17,11,23,20,5,25,4,12,17,15,10,1
988,25,3,24,2,16,12,24,21,6,25,3,11,16,16,11,1
989,24,2,23,3,15,13,25,22,7,24,2,10,15,17,12,1
990,23,1,22,4,14,14,25,23,8,23,1,9,14,18,13,1
991,22,1,21,5,13,15,25,24,9,22,1,8,13,19,14,1
992,21,1,20,6,12,16,24,25,10,21,1,7,12,20,15,1
993,20,2,19,7,11,17,23,25,11,20,2,6,11,21,16,1
994,19,3,18,8,10,18,22,25,12,19,3,5,10,22,17,1
995,18,4,17,9,9,19,21,24,13,18,4,4,9,23,17,1
996,17,5,16,10,8,20,20,23,14,17,5,3,8,24,17,1
997,16,6,15,11,7,21,19,22,15,16,6,2,7,24,16,1
998,15,7,14,12,6,22,18,21,16,15,7,1,6,24,15,1
999,14,8,13,13,5,23,17,20,17,14,8,1,5,25,14,1
1000,13,9,12,14,4,24,16,19,18,13,9,1,4,25,13,1
1001,12,10,11,15,3,25,15,18,19,12,10,1,3,25,12,1
1002,11,11,10,16,2,25,14,17,20,11,11,1,2,24,11,1
1003,10,12,9,17,1,25,13,16,21,10,12,1,1,23,10,1
1004,9,13,8,18,1,24,12,15,22,9,13,1,1,22,9,1
1005,8,14,7,19,1,23,11,14,23,8,14,1,1,21,8,1
1006,7,15,6,20,2,22,10,13,24,7,15,1,2,20,7,1
1007,6,16,5,21,3,21,9,12,25,6,16,1,3,19,6,1
1008,5,17,4,22,4,20,8,11,25,5,17,1,4,18,5,1
1009,4,18,3,23,5,19,7,10,25,4,18,1,5,17,4,1
1010,3,19,2,24,6,18,6,9,24,3,19,1,6,16,3,1
1011,2,20,1,24,7,17,5,8,23,2,20,1,7,15,2,1
1012,1,21,1,24,8,16,4,7,22,1,21,1,8,14,1,1
1013,1,22,1,25,9,15,3,6,21,1,22,1,9,13,1,1
1014,1,23,1,25,10,14,2,5,20,1,23,1,10,12,1,1
1015,1,24,1,25,11,13,1,4,19,1,23,1,11,11,1,1
1016,1,25,1,24,12,12,1,3,18,1,23,1,12,10,1,1
1017,1,25,1,23,13,11,1,2,17,1,24,1,13,9,1,1
1018,1,25,1,22,14,10,1,1,16,1,24,1,14,8,1,1
1019,1,24,1,21,15,9,1,1,15,1,24,1,15,7,1,1
1020,1,23,1,20,16,8,1,1,14,1,25,1,16,6,1,1
1021,1,22,1,19,17,7,1,1,13,1,25,1,17,5,1,1
1022,1,21,1,18,18,6,1,1,12,1,25,1,18,4,1,1
1023,1,20,1,17,19,5,1,1,11,1,24,1,19,3,1,1
1024,1,19,1,16,20,4,1,1,10,1,23,1,20,2,1,1
1025,1,18,1,15,21,3,1,1,9,1,22,1,21,1,1,1
1026,1,17,1,14,22,2,1,1,8,1,21,1,22,1,1,1
1027,1,16,1,13,23,1,1,1,7,1,20,1,23,1,1,1
1028,1,15,1,12,24,1,1,1,6,1,19,1,24,1,1,1
1029,1,14,1,11,25,1,1,1,5,1,18,1,25,1,1,1
1030,1,13,1,10,25,1,1,1,4,1,17,1,25,1,1,1
1031,1,12,1,9,25,1,1,1,3,1,16,1,25,1,1,1
1032,1,11,1,8,24,1,1,1,2,1,15,1,24,1,1,1
1033,1,10,1,7,23,1,1,1,1,1,14,1,23,1,1,1
1034,1,9,1,6,22,1,1,1,1,1,13,1,22,1,1,1
1035,1,8,1,5,21,1,1,1,1,1,12,1,21,1,1,1
1036,1,7,1,4,20,1,1,1,1,1,11,1,20,1,1,1
1037,1,6,1,3,19,1,1,1,1,1,10,1,19,1,1,1
1038,1,5,1,2,18,1,1,1,1,1,9,1,18,1,1,1
1039,1,4,1,1,17,1,1,1,1,1,8,1,17,1,1,1
1040,1,3,1,1,16,1,1,1,1,1,7,1,16,1,1,1
1041,1,2,1,1,15,1,1,1,1,1,6,1,15,1,1,1
1042,1,1,1,2,14,1,1,1,1,1,5,1,14,1,1,1
1043,1,1,1,3,13,1,1,1,1,1,4,1,13,1,1,1
