id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger138,9,1,43,48,84,5,36,41,9
passenger139,24,1,43,163,192,120,29,149,10
passenger140,15,1,43,76,118,33,42,75,11
passenger141,9,1,44,46,60,2,14,16,12
passenger142,8,1,44,52,97,8,45,53,13
passenger143,23,1,44,244,270,200,26,226,14
passenger144,3,1,45,50,108,5,58,63,15
passenger145,3,1,45,86,90,41,4,45,0
passenger146,19,1,45,118,142,73,24,97,1
passenger147,2,1,46,99,156,53,57,110,2
passenger148,6,1,46,49,58,3,9,12,3
passenger149,25,1,47,469,495,422,26,448,4
passenger150,12,1,47,56,105,9,49,58,5
passenger151,19,1,47,99,143,52,44,96,6
passenger152,13,1,48,71,91,23,20,43,7
passenger153,4,1,48,99,162,51,63,114,8
passenger154,6,1,48,75,84,27,9,36,9
passenger155,20,1,48,93,128,45,35,80,10
passenger156,4,1,50,53,58,3,5,8,11
passenger157,16,1,51,81,124,30,43,73,12
passenger158,10,1,51,56,97,5,41,46,13
passenger159,10,1,52,53,88,1,35,36,14
passenger160,24,1,52,139,174,87,35,122,15
passenger161,16,1,52,61,90,9,29,38,0
passenger162,16,1,52,61,88,9,27,36,1
passenger163,10,1,53,53,96,0,43,43,2
passenger164,11,1,53,74,118,21,44,65,3
passenger165,18,1,54,58,81,4,23,27,4
passenger166,2,1,54,108,111,54,3,57,5
passenger167,7,1,54,63,75,9,12,21,6
passenger168,16,1,54,66,91,12,25,37,7
passenger169,16,1,55,55,94,0,39,39,8
passenger170,4,1,55,79,84,24,5,29,9
passenger171,20,1,55,93,128,38,35,73,10
passenger172,15,1,56,76,118,20,42,62,11
passenger173,7,1,56,68,124,12,56,68,12
passenger174,20,1,57,70,97,13,27,40,13
passenger175,25,1,57,980,1006,923,26,949,14
passenger176,12,1,57,61,108,4,47,51,15
passenger177,8,1,58,77,90,19,13,32,0
passenger178,9,1,58,76,88,18,12,30,1
passenger179,16,1,58,63,96,5,33,38,2
passenger180,3,1,58,62,118,4,56,60,3
passenger181,13,1,59,65,81,6,16,22,4
passenger182,2,1,59,108,111,49,3,52,5
passenger183,2,1,59,72,75,13,3,16,6
passenger184,12,1,60,74,91,14,17,31,7
passenger185,19,1,60,60,94,0,34,34,8
passenger186,23,1,60,180,210,120,30,150,9
passenger187,4,1,60,63,68,3,5,8,10
passenger188,7,1,60,66,118,6,52,58,11
passenger189,12,1,61,75,124,14,49,63,12
passenger190,15,1,61,63,97,2,34,36,13
passenger191,25,1,61,980,1006,919,26,945,14
passenger192,18,1,61,71,108,10,37,47,15
passenger193,14,1,62,69,90,7,21,28,0
passenger194,3,1,62,84,88,22,4,26,1
passenger195,3,1,62,102,156,40,54,94,2
passenger196,5,1,63,66,118,3,52,55,3
passenger197,17,1,64,101,147,37,46,83,4
passenger198,9,1,64,93,105,29,12,41,5
passenger199,7,1,65,65,75,0,10,10,6
passenger200,18,1,65,114,137,49,23,72,7
passenger201,21,1,66,70,94,4,24,28,8
passenger202,12,1,67,67,84,0,17,17,9
passenger203,23,1,68,98,128,30,30,60,10
passenger204,19,1,69,82,118,13,36,49,11
passenger205,19,1,70,86,124,16,38,54,12
passenger206,22,1,70,126,161,56,35,91,13
passenger207,6,1,70,81,88,11,7,18,14
passenger208,20,1,71,75,108,4,33,37,15
passenger209,24,1,71,181,212,110,31,141,0
passenger210,25,1,72,182,208,110,26,136,1
passenger211,15,1,73,78,96,5,18,23,2
passenger212,20,1,73,87,118,14,31,45,3
passenger213,23,1,73,111,147,38,36,74,4
passenger214,22,1,74,76,105,2,29,31,5
passenger215,23,1,74,111,143,37,32,69,6
passenger216,21,1,75,171,197,96,26,122,7
passenger217,11,1,76,82,94,6,12,18,8
passenger218,19,1,76,110,144,34,34,68,9
passenger219,11,1,76,80,128,4,48,52,10
passenger220,21,1,76,86,118,10,32,42,11
passenger221,21,1,76,90,124,14,34,48,12
passenger222,24,1,76,198,223,122,25,147,13
passenger223,16,1,77,105,146,28,41,69,14
passenger224,13,1,77,90,108,13,18,31,15
passenger225,5,1,77,82,90,5,8,13,0
passenger226,17,1,78,112,142,34,30,64,1
passenger227,15,1,78,78,96,0,18,18,2
passenger228,14,1,78,79,118,1,39,40,3
passenger229,18,1,78,104,147,26,43,69,4
passenger230,22,1,78,78,105,0,27,27,5
passenger231,5,1,79,81,143,2,62,64,6
passenger232,12,1,79,106,137,27,31,58,7
passenger233,19,1,80,122,162,42,40,82,8
passenger234,21,1,80,114,144,34,30,64,9
passenger235,20,1,81,93,128,12,35,47,10
passenger236,21,1,81,86,118,5,32,37,11
passenger237,22,1,81,93,124,12,31,43,12
passenger238,25,1,82,411,437,329,26,355,13
