id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger138,6,22,43,111,151,68,40,108,15
passenger139,3,19,43,120,144,77,24,101,15
passenger140,13,19,43,44,56,1,12,13,15
passenger141,12,4,44,44,58,0,14,14,10
passenger142,19,16,44,47,52,3,5,8,12
passenger143,12,10,44,44,48,0,4,4,10
passenger144,9,13,45,66,75,21,9,30,8
passenger145,7,8,45,45,48,0,3,3,3
passenger146,7,1,45,45,57,0,12,12,3
passenger147,24,6,46,49,97,3,48,51,14
passenger148,5,4,46,47,50,1,3,4,0
passenger149,25,12,47,52,81,5,29,34,14
passenger150,9,11,47,48,52,1,4,5,7
passenger151,3,8,47,47,54,0,7,7,5
passenger152,7,21,48,108,148,60,40,100,15
passenger153,2,11,48,55,70,7,15,22,8
passenger154,20,21,48,110,113,62,3,65,12
passenger155,13,6,48,48,61,0,13,13,9
passenger156,9,6,50,50,55,0,5,5,2
passenger157,17,8,51,81,105,30,24,54,9
passenger158,16,17,51,76,81,25,5,30,9
passenger159,24,10,52,55,89,3,34,37,14
passenger160,25,11,52,52,86,0,34,34,14
passenger161,18,17,52,53,88,1,35,36,15
passenger162,21,12,52,113,149,61,36,97,11
passenger163,20,9,53,110,154,57,44,101,11
passenger164,13,18,53,59,106,6,47,53,12
passenger165,16,2,54,59,90,5,31,36,6
passenger166,21,19,54,113,133,59,20,79,11
passenger167,3,25,54,81,127,27,46,73,12
passenger168,17,3,54,62,86,8,24,32,6
passenger169,13,21,55,59,113,4,54,58,12
passenger170,7,24,55,71,124,16,53,69,12
passenger171,11,6,55,74,87,19,13,32,7
passenger172,9,14,56,56,71,0,15,15,9
passenger173,18,24,56,56,120,0,64,64,11
passenger174,5,25,57,75,127,18,52,70,12
passenger175,14,4,57,67,83,10,16,26,6
passenger176,24,9,57,57,92,0,35,35,14
passenger177,16,18,58,108,116,50,8,58,13
passenger178,1,6,58,58,70,0,12,12,3
passenger179,18,9,58,58,71,0,13,13,11
passenger180,1,21,58,85,113,27,28,55,12
