id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger138,6,22,43,43,79,0,36,36,11
passenger139,3,19,43,58,102,15,44,59,2
passenger140,13,19,43,47,59,4,12,16,15
passenger141,12,4,44,44,96,0,52,52,15
passenger142,19,16,44,47,67,3,20,23,9
passenger143,12,10,44,44,103,0,59,59,14
passenger144,9,13,45,46,57,1,11,12,13
passenger145,7,8,45,46,51,1,5,6,11
passenger146,7,1,45,48,64,3,16,19,2
passenger147,24,6,46,46,72,0,26,26,4
passenger148,5,4,46,52,55,6,3,9,2
passenger149,25,12,47,50,67,3,17,20,1
passenger150,9,11,47,47,51,0,4,4,13
passenger151,3,8,47,58,79,11,21,32,2
passenger152,7,21,48,48,76,0,28,28,11
passenger153,2,11,48,61,88,13,27,40,2
passenger154,20,21,48,49,52,1,3,4,10
passenger155,13,6,48,48,109,0,61,61,14
passenger156,9,6,50,54,99,4,45,49,11
passenger157,17,8,51,52,67,1,15,16,8
passenger158,16,17,51,52,55,1,3,4,15
passenger159,24,10,52,52,75,0,23,23,6
passenger160,25,11,52,52,70,0,18,18,1
passenger161,18,17,52,53,56,1,3,4,0
passenger162,21,12,52,52,69,0,17,17,10
passenger163,20,9,53,55,74,2,19,21,12
passenger164,13,18,53,57,68,4,11,15,13
passenger165,16,2,54,54,80,0,26,26,5
passenger166,21,19,54,54,58,0,4,4,10
passenger167,3,25,54,58,114,4,56,60,2
passenger168,17,3,54,54,76,0,22,22,8
passenger169,13,21,55,57,73,2,16,18,13
passenger170,7,24,55,70,131,15,61,76,3
passenger171,11,6,55,60,99,5,39,44,11
passenger172,9,14,56,56,65,0,9,9,11
passenger173,18,24,56,57,69,1,12,13,14
passenger174,5,25,57,76,134,19,58,77,3
passenger175,14,4,57,58,72,1,14,15,5
passenger176,24,9,57,57,76,0,19,19,9
passenger177,16,18,58,59,117,1,58,59,0
passenger178,1,6,58,64,75,6,11,17,2
passenger179,18,9,58,59,74,1,15,16,12
passenger180,1,21,58,64,106,6,42,48,2
