tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
314,9,4,1,16,2,12,13,6,11,12,17,6,1,14,8,13
315,10,3,1,16,1,11,14,5,10,11,17,6,1,13,8,12
316,10,2,2,17,1,10,15,4,9,10,17,7,1,12,8,11
317,10,1,3,18,1,9,15,3,8,9,18,8,2,11,9,10
318,11,1,3,19,2,8,15,2,7,8,19,8,3,10,9,9
319,11,1,3,19,2,7,16,1,6,7,19,8,3,9,9,8
320,11,2,4,19,2,6,17,1,5,6,19,9,3,8,10,7
321,12,3,5,20,3,5,18,1,4,5,20,10,4,7,10,6
322,13,3,5,21,4,4,18,2,3,4,21,11,5,6,10,5
323,14,3,5,22,4,3,18,3,2,3,21,12,5,5,11,4
324,15,4,6,23,4,2,19,4,1,2,21,12,5,4,11,3
325,16,4,7,24,5,1,20,5,1,1,22,12,6,3,11,2
326,16,4,7,23,6,1,21,6,1,1,23,13,7,2,12,1
327,16,5,7,22,7,1,22,6,2,1,24,14,8,1,12,1
328,17,5,8,21,8,2,23,6,3,2,25,15,9,1,12,1
329,17,5,8,20,8,2,24,7,4,3,24,15,9,1,13,2
330,17,6,8,19,8,2,25,8,5,4,23,15,9,2,13,3
331,18,7,9,18,9,3,24,9,6,5,22,16,10,3,13,4
332,19,8,9,17,9,4,23,9,6,6,21,17,11,4,14,5
333,19,9,9,16,9,4,22,9,6,7,20,17,11,5,15,5
334,19,9,10,15,10,4,21,10,7,8,19,17,11,5,16,5
335,20,9,10,14,10,5,20,11,8,9,18,18,12,5,17,6
336,20,10,10,13,10,5,19,11,9,9,17,18,12,6,18,7
337,20,10,11,12,11,5,18,11,10,9,16,18,12,7,19,8
338,21,10,12,11,12,6,17,12,11,10,15,19,13,7,20,8
339,21,11,13,10,12,7,16,13,12,11,14,20,14,7,21,8
340,21,12,14,9,12,8,15,14,12,12,13,21,14,8,22,9
341,22,12,14,8,13,8,14,15,12,13,12,22,14,9,23,9
342,23,12,14,7,13,8,13,16,12,13,11,22,15,9,24,9
343,22,13,15,6,13,9,12,17,12,13,10,22,16,9,23,10
